index,Sku,Style Id,Catalog,Category,Weight,TP,MRP Old,Final MRP Old,Ajio MRP,Amazon MRP,Amazon FBA MRP,Flipkart MRP,Limeroad MRP,Myntra MRP,Paytm MRP,Snapdeal MRP,Markup,Markup %,Price_Outlier
0,Os206_3141_S,Os206_3141,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
1,Os206_3141_M,Os206_3141,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
2,Os206_3141_L,Os206_3141,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
3,Os206_3141_XL,Os206_3141,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
4,Os206_3141_2XL,Os206_3141,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
5,Os206_3141_3XL,Os206_3141,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
6,Os223_3142_S,Os223_3142,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
7,Os223_3142_M,Os223_3142,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
8,Os223_3142_L,Os223_3142,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
9,Os223_3142_XL,Os223_3142,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
10,Os223_3142_2XL,Os223_3142,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
11,Os223_3142_3XL,Os223_3142,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
12,Os212_3143_S,Os212_3143,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
13,Os212_3143_M,Os212_3143,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
14,Os212_3143_L,Os212_3143,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
15,Os212_3143_XL,Os212_3143,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
16,Os212_3143_2XL,Os212_3143,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
17,Os212_3143_3XL,Os212_3143,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
18,Os214_3144_S,Os214_3144,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
19,Os214_3144_M,Os214_3144,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
20,Os214_3144_L,Os214_3144,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
21,Os214_3144_XL,Os214_3144,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
22,Os214_3144_2XL,Os214_3144,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
23,Os214_3144_3XL,Os214_3144,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
24,Os207_3145_S,Os207_3145,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
25,Os207_3145_M,Os207_3145,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
26,Os207_3145_L,Os207_3145,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
27,Os207_3145_XL,Os207_3145,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
28,Os207_3145_2XL,Os207_3145,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
29,Os207_3145_3XL,Os207_3145,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
30,Os202_3146_S,Os202_3146,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
31,Os202_3146_M,Os202_3146,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
32,Os202_3146_L,Os202_3146,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
33,Os202_3146_XL,Os202_3146,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
34,Os202_3146_2XL,Os202_3146,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
35,Os202_3146_3XL,Os202_3146,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,1757.0,326.57992565055764,False
36,Os181_5051_S,Os181_5051,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
37,Os181_5051_M,Os181_5051,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
38,Os181_5051_L,Os181_5051,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
39,Os181_5051_XL,Os181_5051,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
40,Os181_5051_2XL,Os181_5051,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
41,Os181_5051_3XL,Os181_5051,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
42,Os191_5052_S,Os191_5052,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
43,Os191_5052_M,Os191_5052,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
44,Os191_5052_L,Os191_5052,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
45,Os191_5052_XL,Os191_5052,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
46,Os191_5052_2XL,Os191_5052,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
47,Os191_5052_3XL,Os191_5052,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
48,Os197_5053_S,Os197_5053,Colors-8,Kurta,0.3,438.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
49,Os197_5053_M,Os197_5053,Colors-8,Kurta,0.3,438.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
50,Os197_5053_L,Os197_5053,Colors-8,Kurta,0.3,438.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
51,Os197_5053_XL,Os197_5053,Colors-8,Kurta,0.3,438.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
52,Os197_5053_2XL,Os197_5053,Colors-8,Kurta,0.3,438.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
53,Os197_5053_3XL,Os197_5053,Colors-8,Kurta,0.3,438.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
54,OS219_5054_S,OS219_5054,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
55,OS219_5054_M,OS219_5054,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
56,OS219_5054_L,OS219_5054,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
57,OS219_5054_XL,OS219_5054,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
58,OS219_5054_2XL,OS219_5054,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
59,OS219_5054_3XL,OS219_5054,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
60,Os195_5055_S,Os195_5055,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
61,Os195_5055_M,Os195_5055,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
62,Os195_5055_L,Os195_5055,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
63,Os195_5055_XL,Os195_5055,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
64,Os195_5055_2XL,Os195_5055,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
65,Os195_5055_3XL,Os195_5055,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
66,Os189_5056_S,Os189_5056,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
67,Os189_5056_M,Os189_5056,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
68,Os189_5056_L,Os189_5056,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
69,Os189_5056_XL,Os189_5056,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
70,Os189_5056_2XL,Os189_5056,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
71,Os189_5056_3XL,Os189_5056,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
72,Os182_5057_S,Os182_5057,Colors-8,Kurta,0.3,438.0,1895.0,254.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,-184.0,-42.00913242009132,True
73,Os182_5057_M,Os182_5057,Colors-8,Kurta,0.3,438.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
74,Os182_5057_L,Os182_5057,Colors-8,Kurta,0.3,438.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
75,Os182_5057_XL,Os182_5057,Colors-8,Kurta,0.3,438.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
76,Os182_5057_2XL,Os182_5057,Colors-8,Kurta,0.3,438.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
77,Os182_5057_3XL,Os182_5057,Colors-8,Kurta,0.3,438.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
78,Os209_5058_S,Os209_5058,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
79,Os209_5058_M,Os209_5058,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
80,Os209_5058_L,Os209_5058,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
81,Os209_5058_XL,Os209_5058,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
82,Os209_5058_2XL,Os209_5058,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
83,Os209_5058_3XL,Os209_5058,Colors-8,Kurta,0.3,438.0,1778.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1895.0,1457.0,332.648401826484,False
84,Os218_3151_S,Os218_3151,Breeze-4,Kurta,0.3,505.0,2038.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,1690.0,334.65346534653463,False
85,Os218_3151_M,Os218_3151,Breeze-4,Kurta,0.3,505.0,2038.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,1690.0,334.65346534653463,False
86,Os218_3151_L,Os218_3151,Breeze-4,Kurta,0.3,505.0,2038.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,1690.0,334.65346534653463,False
87,Os218_3151_XL,Os218_3151,Breeze-4,Kurta,0.3,505.0,2038.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,1690.0,334.65346534653463,False
88,Os218_3151_2XL,Os218_3151,Breeze-4,Kurta,0.3,505.0,2038.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,1690.0,334.65346534653463,False
89,Os218_3151_3XL,Os218_3151,Breeze-4,Kurta,0.3,505.0,2038.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,1690.0,334.65346534653463,False
90,Os201_3152_S,Os201_3152,Breeze-4,Kurta,0.3,505.0,2038.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,1690.0,334.65346534653463,False
91,Os201_3152_M,Os201_3152,Breeze-4,Kurta,0.3,505.0,2038.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,1690.0,334.65346534653463,False
92,Os201_3152_L,Os201_3152,Breeze-4,Kurta,0.3,505.0,2038.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,1690.0,334.65346534653463,False
