agent_id,year,total_work_hours,starting_date,total_commission
1,1998,573,15/9/1998,1966
1,1999,1838,15/9/1998,9128
1,2000,1003,15/9/1998,4139
1,2001,1692,15/9/1998,2516
1,2002,1349,15/9/1998,4633
1,2003,1802,15/9/1998,6048
1,2004,370,15/9/1998,640
1,2005,161,15/9/1998,425
1,2006,662,15/9/1998,1588
1,2007,1242,15/9/1998,5455
1,2008,1437,15/9/1998,7058
1,2009,1088,15/9/1998,2474
1,2010,242,15/9/1998,372
1,2011,401,15/9/1998,918
1,2012,1429,15/9/1998,2888
1,2013,173,15/9/1998,306
1,2014,591,15/9/1998,1136
1,2015,1910,15/9/1998,7889
1,2016,378,15/9/1998,791
1,2017,983,15/9/1998,2237
2,2006,590,28/3/2006,2687
2,2007,384,28/3/2006,1276
2,2008,928,28/3/2006,4447
2,2009,448,28/3/2006,2161
2,2010,841,28/3/2006,2213
2,2011,471,28/3/2006,1862
2,2012,1225,28/3/2006,4527
2,2013,1346,28/3/2006,2172
2,2014,1710,28/3/2006,6209
2,2015,1764,28/3/2006,2145
2,2016,516,28/3/2006,1351
2,2017,1564,28/3/2006,2959
3,2005,576,8/7/2005,2594
3,2006,582,8/7/2005,970
3,2007,1593,8/7/2005,3241
3,2008,1346,8/7/2005,5809
3,2009,652,8/7/2005,1300
3,2010,200,8/7/2005,472
3,2011,118,8/7/2005,303
3,2012,1357,8/7/2005,3323
3,2013,1062,8/7/2005,4938
3,2014,1821,8/7/2005,5932
3,2015,289,8/7/2005,420
3,2016,272,8/7/2005,1219
3,2017,729,8/7/2005,2106
4,2016,358,15/9/2016,885
4,2017,820,15/9/2016,1543
5,1992,48,24/10/1992,210
5,1993,1248,24/10/1992,3644
5,1994,1012,24/10/1992,3892
5,1995,1312,24/10/1992,6343
5,1996,108,24/10/1992,231
5,1997,845,24/10/1992,1361
5,1998,749,24/10/1992,947
5,1999,1816,24/10/1992,2938
5,2000,982,24/10/1992,4857
5,2001,256,24/10/1992,450
5,2002,149,24/10/1992,302
5,2003,397,24/10/1992,1857
5,2004,580,24/10/1992,1439
5,2005,926,24/10/1992,3862
5,2006,1226,24/10/1992,2824
5,2007,1157,24/10/1992,3320
5,2008,1799,24/10/1992,2811
5,2009,1141,24/10/1992,4365
5,2010,200,24/10/1992,469
5,2011,945,24/10/1992,4561
5,2012,1190,24/10/1992,2349
5,2013,565,24/10/1992,2272
5,2014,698,24/10/1992,885
5,2015,1087,24/10/1992,2842
5,2016,1289,24/10/1992,1521
5,2017,1229,24/10/1992,3783
6,1998,1078,20/5/1998,4474
6,1999,787,20/5/1998,2872
6,2000,313,20/5/1998,433
6,2001,1382,20/5/1998,3769
6,2002,308,20/5/1998,1094
6,2003,1097,20/5/1998,3665
6,2004,1443,20/5/1998,6663
6,2005,1699,20/5/1998,3504
6,2006,1224,20/5/1998,3103
6,2007,682,20/5/1998,3040
6,2008,1133,20/5/1998,1343
6,2009,316,20/5/1998,685
6,2010,555,20/5/1998,2441
6,2011,490,20/5/1998,1702
6,2012,437,20/5/1998,1631
6,2013,1088,20/5/1998,2058
6,2014,1307,20/5/1998,5510
6,2015,307,20/5/1998,1401
6,2016,231,20/5/1998,1131
6,2017,1187,20/5/1998,2794
7,1996,1239,11/1/1996,2624
7,1997,743,11/1/1996,1888
7,1998,1888,11/1/1996,4019
7,1999,987,11/1/1996,4632
7,2000,503,11/1/1996,887
7,2001,634,11/1/1996,3014
7,2002,414,11/1/1996,1525
7,2003,458,11/1/1996,639
7,2004,1524,11/1/1996,2470
7,2005,1538,11/1/1996,3698
7,2006,763,11/1/1996,3676
7,2007,595,11/1/1996,2001
7,2008,118,11/1/1996,466
7,2009,487,11/1/1996,769
7,2010,1384,11/1/1996,5691
7,2011,706,11/1/1996,3489
7,2012,1568,11/1/1996,7460
7,2013,709,11/1/1996,818
7,2014,734,11/1/1996,1946
7,2015,399,11/1/1996,664
7,2016,1755,11/1/1996,4297
7,2017,119,11/1/1996,281
8,2005,351,9/8/2005,1359
8,2006,188,9/8/2005,781
8,2007,600,9/8/2005,1664
8,2008,1825,9/8/2005,4454
8,2009,591,9/8/2005,1988
8,2010,1648,9/8/2005,7397
8,2011,1751,9/8/2005,5302
8,2012,1280,9/8/2005,1328
8,2013,379,9/8/2005,930
8,2014,823,9/8/2005,1316
8,2015,1719,9/8/2005,2834
8,2016,632,9/8/2005,1929
8,2017,1100,9/8/2005,2992
9,1990,624,26/9/1990,2991
9,1991,242,26/9/1990,427
9,1992,134,26/9/1990,654
9,1993,335,26/9/1990,631
9,1994,1217,26/9/1990,4967
9,1995,602,26/9/1990,798
9,1996,908,26/9/1990,1746
9,1997,1144,26/9/1990,3643
9,1998,542,26/9/1990,857
9,1999,574,26/9/1990,2289
9,2000,1369,26/9/1990,2436
9,2001,700,26/9/1990,1776
9,2002,958,26/9/1990,3669
9,2003,1263,26/9/1990,1355
9,2004,1189,26/9/1990,1893
9,2005,172,26/9/1990,562
9,2006,1807,26/9/1990,5374
9,2007,917,26/9/1990,3041
9,2008,1501,26/9/1990,6335
9,2009,787,26/9/1990,3851
9,2010,579,26/9/1990,2087
9,2011,812,26/9/1990,855
9,2012,818,26/9/1990,2833
9,2013,734,26/9/1990,2064
9,2014,485,26/9/1990,2137
9,2015,253,26/9/1990,1154
9,2016,795,26/9/1990,3628
9,2017,549,26/9/1990,997
10,2014,236,27/11/2014,703
10,2015,1008,27/11/2014,1489
10,2016,116,27/11/2014,377
10,2017,1561,27/11/2014,4103
11,2002,872,11/6/2002,3416
11,2003,451,11/6/2002,615
11,2004,263,11/6/2002,404
11,2005,1728,11/6/2002,5560
11,2006,703,11/6/2002,2543
11,2007,1305,11/6/2002,2872
11,2008,275,11/6/2002,787
11,2009,997,11/6/2002,4667
11,2010,227,11/6/2002,469
11,2011,1416,11/6/2002,5969
11,2012,631,11/6/2002,1604
11,2013,1388,11/6/2002,5436
11,2014,1801,11/6/2002,5270
11,2015,1078,11/6/2002,1563
11,2016,638,11/6/2002,2541
11,2017,977,11/6/2002,4277
12,2004,38,27/10/2004,43
12,2005,1686,27/10/2004,6716
12,2006,1463,27/10/2004,6775
12,2007,686,27/10/2004,2819
12,2008,272,27/10/2004,459
12,2009,1257,27/10/2004,6152
12,2010,1888,27/10/2004,2303
12,2011,1455,27/10/2004,6808
12,2012,1726,27/10/2004,1752
12,2013,247,27/10/2004,393
12,2014,642,27/10/2004,3170
12,2015,1218,27/10/2004,2250
12,2016,654,27/10/2004,1137
12,2017,1586,27/10/2004,5045
13,2017,261,10/3/2017,556
14,1997,1266,28/5/1997,2968
14,1998,1284,28/5/1997,1295
14,1999,1084,28/5/1997,2126
14,2000,1820,28/5/1997,5527
14,2001,1426,28/5/1997,3189
14,2002,169,28/5/1997,472
14,2003,872,28/5/1997,899
14,2004,1537,28/5/1997,3003
14,2005,832,28/5/1997,3521
14,2006,222,28/5/1997,289
14,2007,577,28/5/1997,1715
14,2008,1818,28/5/1997,8174
14,2009,111,28/5/1997,531
14,2010,1608,28/5/1997,7889
14,2011,1180,28/5/1997,1788
14,2012,419,28/5/1997,460
14,2013,619,28/5/1997,2415
14,2014,1848,28/5/1997,3642
14,2015,1850,28/5/1997,4647
14,2016,1425,28/5/1997,1550
14,2017,1547,28/5/1997,5907
15,2011,148,17/7/2011,475
15,2012,276,17/7/2011,594
15,2013,1726,17/7/2011,6466
15,2014,1510,17/7/2011,6059
15,2015,1124,17/7/2011,2481
15,2016,703,17/7/2011,2040
15,2017,1060,17/7/2011,1706
16,2003,460,9/6/2003,2046
16,2004,1527,9/6/2003,2456
16,2005,699,9/6/2003,2212
16,2006,1337,9/6/2003,4012
16,2007,220,9/6/2003,777
16,2008,379,9/6/2003,1295
16,2009,1842,9/6/2003,7886
16,2010,783,9/6/2003,1517
16,2011,1832,9/6/2003,8636
16,2012,679,9/6/2003,2714
16,2013,1245,9/6/2003,4775
16,2014,1187,9/6/2003,5800
16,2015,367,9/6/2003,698
16,2016,1378,9/6/2003,4100
16,2017,1485,9/6/2003,3935
17,2009,27,5/12/2009,40
17,2010,835,5/12/2009,1724
17,2011,183,5/12/2009,747
17,2012,1097,5/12/2009,4969
17,2013,186,5/12/2009,594
17,2014,1852,5/12/2009,3211
17,2015,704,5/12/2009,2597
17,2016,1678,5/12/2009,5841
17,2017,895,5/12/2009,3304
18,2014,351,25/10/2014,1319
18,2015,1063,25/10/2014,3594
18,2016,1791,25/10/2014,2041
18,2017,1836,25/10/2014,2942
19,1998,214,22/10/1998,611
19,1999,441,22/10/1998,865
19,2000,165,22/10/1998,779
19,2001,581,22/10/1998,2175
19,2002,342,22/10/1998,1311
19,2003,1501,22/10/1998,7268
19,2004,887,22/10/1998,2035
19,2005,1621,22/10/1998,3572
19,2006,1658,22/10/1998,8143
19,2007,818,22/10/1998,3177
19,2008,519,22/10/1998,2464
19,2009,1559,22/10/1998,1913
19,2010,560,22/10/1998,2351
19,2011,220,22/10/1998,1069
19,2012,1610,22/10/1998,3753
19,2013,715,22/10/1998,1173
19,2014,1493,22/10/1998,4710
19,2015,1322,22/10/1998,2706
19,2016,1437,22/10/1998,7129
19,2017,590,22/10/1998,2055
20,2017,1879,17/1/2017,6585
21,2002,92,24/6/2002,156
21,2003,1761,24/6/2002,5545
21,2004,841,24/6/2002,1593
21,2005,341,24/6/2002,1311
21,2006,478,24/6/2002,952
21,2007,1096,24/6/2002,1399
21,2008,307,24/6/2002,789
21,2009,223,24/6/2002,667
21,2010,1115,24/6/2002,4646
21,2011,1273,24/6/2002,6018
